Book:	C++ Primer Plus		| Author:	Prata, Stephen
Ed.:	3rd			| Year: 	2013


Chapter	| Exercise	| Done?	| Fixes	| Fixes Done?	| Read?
--------|---------------|-------|-------|---------------|-------
  18	|	4	|	|	|		|	
  18	|	3	|	|	|		|	
  18	|	2	|	|	|		|	
  18	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
  17	|	7	|	|	|		|	
  17	|	6	|	|	|		|	
  17	|	5	|	|	|		|	
  17	|	4	|	|	|		|	
  17	|	3	|	|	|		|	
  17	|	2	|	|	|		|	
  17	|	1	|	|	|		|	
 -------|---------------|-------|-------|---------------|-------
  16	|	10	|	|	|		|	
  16	|	9	|	|	|		|	
  16	|	8	|	|	|		|	
  16	|	7	|	|	|		|	
  16	|	6	|	|	|		|	
  16	|	5	|	|	|		|	
  16	|	4	|	|	|		|	
  16	|	3	|	|	|		|	
  16	|	2	|	|	|		|	
  16	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
  15	|	4	|	|	|		|	
  15	|	3	|	|	|		|	
  15	|	2	|	|	|		|	
  15	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
  14	|	5	|	|	|		|	
  14	|	4	|	|	|		|	
  14	|	3	|	|	|		|	
  14	|	2	|	|	|		|	
  14	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
  13	|	4	|	|	|		|	
  13	|	3	|	|	|		|	
  13	|	2	|	|	|		|	
  13	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
  12	|	6	|	|	|		|	
  12	|	5	|	|	|		|	
  12	|	4	|	|	|		|	
  12	|	3	|	|	|		|	
  12	|	2	|	|	|		|	
  12	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
  11	|	7	|	|	|		|	
  11	|	6	|	|	|		|	
  11	|	5	|	|	|		|	
  11	|	4	|	|	|		|	
  11	|	3	|	|	|		|	
  11	|	2	|	|	|		|	
  11	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
  10	|	8	|	|	|		|	
  10	|	7	|	|	|		|	
  10	|	6	|	|	|		|	
  10	|	5	|	|	|		|	
  10	|	4	|	|	|		|	
  10	|	3	|	|	|		|	
  10	|	2	|	|	|		|	
  10	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
   9	|	4	|	|	|		|	
   9	|	3	|	|	|		|	
   9	|	2	|	|	|		|	
   9	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
   8	|	7	|	|	|		|	
   8	|	6	|	|	|		|	
   8	|	5	|	|	|		|	
   8	|	4	|	|	|		|	
   8	|	3	|	|	|		|	
   8	|	2	|	|	|		|	
   8	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
   7	|	10	|	|	|		|	
   7	|	9	|	|	|		|	
   7	|	8	|	|	|		|	
   7	|	7	|	|	|		|	
   7	|	6	|	|	|		|	
   7	|	5	|	|	|		|	
   7	|	4	|	|	|		|	
   7	|	3	|	|	|		|	
   7	|	2	|	|	|		|	
   7	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
   6	|	9	|	|	|		|	
   6	|	8	|	|	|		|	
   6	|	7	|	|	|		|	
   6	|	6	|	|	|		|	
   6	|	5	|	|	|		|	
   6	|	4	|	|	|		|	
   6	|	3	|	|	|		|	
   6	|	2	|	|	|		|	
   6	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
   5	|	10	|	|	|		|	
   5	|	9	|	|	|		|	
   5	|	8	|	|	|		|	
   5	|	7	|	|	|		|	
   5	|	6	|	|	|		|	
   5	|	5	|	|	|		|	
   5	|	4	|	|	|		|	
   5	|	3	|	|	|		|	
   5	|	2	|	|	|		|	
   5	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
   4	|	10	|	|	|		|	
   4	|	9	|	|	|		|	
   4	|	8	|	|	|		|	
   4	|	7	|	|	|		|	
   4	|	6	|	|	|		|	
   4	|	5	|	|	|		|	
   4	|	4	|	|	|		|	
   4	|	3	|	|	|		|	
   4	|	2	|	|	|		|	
   4	|	1	|	|	|		|	
--------|---------------|-------|-------|---------------|-------
   3	|	7	|   Y	|	|		|	
   3	|	6	|   Y	|	|		|	
   3	|	5	|   Y	|	|		|	
   3	|	4	|   Y	|	|		|   Y	
   3	|	3	|   Y	|	|		|	
   3	|	2	|   Y	|	|		|	
   3	|	1	|   Y	|	|		|		
--------|---------------|-------|-------|---------------|-------
   2	|	7	|   Y	|	|		|	
   2	|	6	|   Y	|	|		|	
   2	|	5	|   Y	|	|		|	
   2	|	4	|   Y	|	|		|   Y	
   2	|	3	|   Y	|	|		|	
   2	|	2	|   Y	|	|		|	
   2	|	1	|   Y	|	|		|	
================================================================	
